"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"MAS4CHICKEN.nlogo"
"experiment"
"06/02/2024 20:59:20:621 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"Cocineros","Meseros","Intervalo-Clientes","[step]","(mean) get-waiting-time","(std) get-waiting-time"
"4","5","20","55","73.5","10.032447358446493"
"4","5","20","56","73.5","10.032447358446493"
"4","5","20","57","73.5","10.032447358446493"
"4","5","20","58","73.5","10.032447358446493"
"4","5","20","59","73.5","10.032447358446493"
"4","5","20","60","73.5","10.032447358446493"
"4","5","20","61","73.5","10.032447358446493"
"4","5","20","62","73.5","10.032447358446493"
"4","5","20","63","73.5","10.032447358446493"
"4","5","20","64","73.5","10.032447358446493"
"4","5","20","65","73.5","10.032447358446493"
"4","5","20","66","73.5","10.032447358446493"
"4","5","20","67","73.5","10.032447358446493"
"4","5","20","68","73.5","10.032447358446493"
"4","5","20","69","73.5","10.032447358446493"
"4","5","20","70","73.5","10.032447358446493"
"4","5","20","71","73.5","10.032447358446493"
"4","5","20","72","73.5","10.032447358446493"
"4","5","20","73","73.5","10.032447358446493"
"4","5","20","74","73.5","10.032447358446493"
"4","5","20","75","73.5","10.032447358446493"
"4","5","20","76","73.5","10.032447358446493"
"4","5","20","77","73.5","10.032447358446493"
"4","5","20","78","73.5","10.032447358446493"
"4","5","20","79","73.5","10.032447358446493"
"4","5","20","80","73.5","10.032447358446493"
"4","5","20","81","73.5","10.032447358446493"
"4","5","20","82","73.5","10.032447358446493"
"4","5","20","83","73.5","10.032447358446493"
"4","5","20","84","73.5","10.032447358446493"
"4","5","20","85","73.5","10.032447358446493"
"4","5","20","86","73.5","10.032447358446493"
"4","5","20","87","73.5","10.032447358446493"
"4","5","20","88","73.5","10.032447358446493"
"4","5","20","89","73.5","10.032447358446493"
"4","5","20","90","73.5","10.032447358446493"
"4","5","20","91","73.5","10.032447358446493"
"4","5","20","92","73.5","10.032447358446493"
"4","5","20","93","73.5","10.032447358446493"
"4","5","20","94","73.5","10.032447358446493"
"4","5","20","95","73.5","10.032447358446493"
"4","5","20","96","73.5","10.032447358446493"
"4","5","20","97","73.5","10.032447358446493"
"4","5","20","98","73.5","10.032447358446493"
"4","5","20","99","73.5","10.032447358446493"
"4","5","20","100","73.5","10.032447358446493"
"4","5","20","101","73.5","10.032447358446493"
"4","5","20","102","73.5","10.032447358446493"
"4","5","20","103","73.5","10.032447358446493"
"4","5","20","104","73.5","10.032447358446493"
"4","5","20","105","73.5","10.032447358446493"
"4","5","20","106","73.5","10.032447358446493"
"4","5","20","107","73.5","10.032447358446493"
"4","5","20","108","73.5","10.032447358446493"
"4","5","20","109","73.5","10.032447358446493"
"4","5","20","110","73.5","10.032447358446493"
"4","5","20","111","73.5","10.032447358446493"
"4","5","20","112","73.5","10.032447358446493"
"4","5","20","113","73.5","10.032447358446493"
"4","5","20","114","73.5","10.032447358446493"
"4","5","20","115","73.5","10.032447358446493"
"4","5","20","116","73.5","10.032447358446493"
"4","5","20","117","73.5","10.032447358446493"
"4","5","20","118","73.5","10.032447358446493"
"4","5","20","119","73.5","10.032447358446493"
"4","5","20","120","73.5","10.032447358446493"
"4","5","20","121","73.5","10.032447358446493"
"4","5","20","122","73.5","10.032447358446493"
"4","5","20","123","73.5","10.032447358446493"
"4","5","20","124","73.5","10.032447358446493"
"4","5","20","125","73.5","10.032447358446493"
"4","5","20","126","73.5","10.032447358446493"
"4","5","20","127","73.5","10.032447358446493"
"4","5","20","128","73.5","10.032447358446493"
"4","5","20","129","73.5","10.032447358446493"
"4","5","20","130","73.5","10.032447358446493"
"4","5","20","131","73.5","10.032447358446493"
"4","5","20","132","73.5","10.032447358446493"
"4","5","20","133","73.5","10.032447358446493"
"4","5","20","134","73.5","10.032447358446493"
"4","5","20","135","73.5","10.032447358446493"
"4","5","20","136","73.5","10.032447358446493"
"4","5","20","137","73.5","10.032447358446493"
